soție	soț	N	nevastă,soție	soț,partener	Femeie măritată consideratăîn raport cu bărbatul ei	(La pl.) Cele două persoane de sex opus unite prin căsătorie.	3.42	4.22
armă	zori	N	armă,tehnică	zori	mijloc de a convinge, modalitate de persuasiune	O perioadă de început	1.68	0.03
masă	talie	N	masă	mărime,măsură,talie	Cantitatea de materie a unui corp considerată ca o mărime caracteristică (în raport cu volumul)	proprietatea rezultată din faptul de a fi una dintr-o serie de măsuri crescătoare (ca la încălțăminte sau îmbrăcăminte)	2.68	0.35
lichior	trupă	N	lichior	ansamblu,companie,trupă	Băutură alcoolică preparată din spirt, sirop de zahăr și esențe aromatice.	Colectiv de actori ai unui teatru sau al unui circ	1.19	0.1
stomac	stare	N	stomac	condiție,stare	Parte a aparatului digestiv, la om și la animalele superioare, în formă de pungă, situată între esofag și duoden, în care se face digestia alimentelor	Situație în care se află cineva sau ceva	1.3	0.67
armă	blană	N	armă	blană,haină_de_blană	Obiect, unealtă, aparat, mașină care servește în lupta împotriva inamicului, la vânat, în unele probe sportive etc.	haină confecționată din blană	1.68	0.25
autocar	baseball	N	autobuz,autocar,omnibuz	baseball	Automobil cu caroseria închisă sau parțial decapotabilă, folosit la transportul în comun al unui număr mare de persoane.	joc sportiv (la americani) între două echipe a câte 9 jucători, asemănător cu oina	0.83	0.35
punte	șoarece	N	punte	șoarec,șoarece,mouse	ancoră intre părțile dinților de lângă cel lipsa	Periferic al unui calculator cu care se poate mișca un cursor pe ecran și accesa informații dorite.	2.19	0.15
orez	băiat	N	orez	băiat	Semințele de orez, folosite ca hrană.	Copil de sex bărbătesc	1.54	0
oameni	armă	N	oameni	armă	grup de persoane	Obiect, unealtă, aparat, mașină care servește în lupta împotriva inamicului, la vânat, în unele probe sportive etc.	1.68	1.07
stâncă	coadă	N	stâncă,stană	coadă,mâner	Bloc mare de piatră (în munți), de obicei cu pereții drepți și colțuroși.	Parte a unui obiect care permite apucarea (și manevrarea) acestuia cu mâna	2.19	0.03
gleznă	fereastră	N	gleznă	fereastră	Parte a piciorului unor animale cuprinsă între fluier și chișiță.	(biol.) deschidere mică acoperită de o membrană (mai ales cea de pe osul dintre urechea internă și cea mijlocie)	2.0	0.07
prințesă	insulă	N	prințesă,principesă	insulă	Fiică a unui rege, a unui principe, a unui împărat.	Întindere de pământ înconjurată din toate părțile de apă, situată fie într-un ocean, mare sau lac, fie în cadrul albiei unei ape curgătoare.	1.54	0.43
container	șoarece	N	container	șoarec,șoarece,mouse	Ambalaj în formă de rame, lăzi etc. care servește la transportul materialelor sau al produselor	Periferic al unui calculator cu care se poate mișca un cursor pe ecran și accesa informații dorite.	2.42	1.1
oameni	balon	N	oameni	balon	grup de persoane	Jucărie de cauciuc foarte subțire, mai ales în formă de sferă, umplută cu aer sau cu un gaz ușor	1.83	0.25
dolar	oameni	N	dolar	oameni	Unitate monetară principală în Statele Unite ale Americii, în Canada, în Australia, Liberia etc	grup de persoane	1.83	0.85
baie	balon	N	baie,cadă,vană	balon	Vas mare pentru îmbăiat	Partea umplută cu gaz a unui mongolfier	2.42	0.13
stomac	dormitor	N	stomac	cameră_de_culcare,dormitor	Parte a aparatului digestiv, la om și la animalele superioare, în formă de pungă, situată între esofag și duoden, în care se face digestia alimentelor	Cameră de dormit (într-o locuință particulară, într-o școală, într-o cazarmă etc.)	0.91	0.03
bicicletă	dormitor	N	bicicletă	cameră_de_culcare,dormitor	Vehicul cu două roți pus în mișcare prin două pedale acționate cu picioarele și folosit, de obicei, pentru transportul unei singure persoane.	Cameră de dormit (într-o locuință particulară, într-o școală, într-o cazarmă etc.)	1.83	0
buștean	baie	N	buștean	WC,baie,privată,toaletă	partea trunchiului unui copac rămasă în pământ după tăiere	cameră amenajată special pentru spălare și pentru satisfacerea nevoilor fiziologice	1.83	0
castron	coadă	N	castron	coadă	Vas adânc în care se aduc la masă unele mâncăruri.	Parte a unui instrument sau a unui obiect de care se apucă cu mâna	2.0	0.07
duce	veni	V	conduce,duce	apropia,veni	A duce pe cineva undeva	A se deplasa înspre persoana care vorbește sau despre care se vorbește; a se apropia de un loc, de o așezare;	2.5	0.47
lua	fura	V	lua,fura	lua,fura	A primi o pedeapsă	A primi o pedeapsă	4.0	4.05
asculta	auzi	V	asculta,auzi,lua_aminte	asculta,auzi,lua_aminte	A acorda importanță celor spuse de cineva, a lua în considerație	A acorda importanță celor spuse de cineva, a lua în considerație	4.0	6.38
gândi	justifica	V	cugeta,gândi,raționa	justifica,îndreptăți,scuza	a gândi rațional	a considera ceva ca fiind rezonabil, demn de scuze, explicabil	2.28	3.12
întâmpla	petrece	V	întâmpla	petrece	(jargon) a se petrece, a avea loc, a se ivi accidental	A-și duce viața sau a-și ocupa timpul (într-un anumit fel, într-un anumit loc, o anumită perioadă)	2.5	8.75
pieri	dispărea	V	dispărea,|se| pierde,pieri,|se| prăpădi	dispărea,|se| pierde,pieri,|se| prăpădi	(figurat) a fi gata să moară din cauza unei suferințe mari	(figurat) a fi gata să moară din cauza unei suferințe mari	4.0	7.13
înmulți	împărți	V	înmulți,multiplica	împărți,diviza	(Mat.) A efectua operația de înmulțire	A efectua operația de împărțire a unui număr prin altul, a face o împărțire.	3.0	0.6
pleda	implora	V	pleda	conjura,implora,[se] ruga	A intra într-o acțiune juridică	A ruga pe cineva stăruitor, cu desperare și cu umilință.	1.39	1.95
proteja	apăra	V	apăra,proteja	apăra,proteja	a menține o poziție prin luptă.	a menține o poziție prin luptă.	4.0	9
ucide	distruge	V	omorî,suprima,ucide	distruge,nimici	A pricinui moartea cuiva, a lua viața cuiva, de obicei fără intenție;	A face să nu mai existe, a reduce la nimic (omorând, distrugând, lichidând)	3.42	6.17
crea	face	V	crea,face	crea,face	A face ceva ce nu exista înainte	A face ceva ce nu exista înainte	4.0	8.37
accepta	respinge	V	accepta	refuza,respinge	a reacționa favorabil la; a considera drept sau potrivit	(med.) a rezista imunologic la introducerea în organism a unor substanțe străine	3.0	0.38
ignora	evita	V	ignora,fi_în_beznă	[se] abține,evita	a fi ignorant, neștiutor	A se abține, a se înfrâna de la a face ceva.	2.77	7.23
căra	aduce	V	căra,duce,transporta	aduce,lua	A deplasa (cu un vehicul) bunuri sau persoane dintr-un loc în altul;	A lua cu sine un lucru sau pe cineva și a veni cu el undeva sau la cineva (pentru a-l preda).	3.42	5.88
pleca	intra	V	pleca	intra	a părăsi pe cineva sau ceva spre a se duce în altă parte	A trece din afară în înăuntru, a merge dintr-un loc deschis într-unul închis (sau considerat ca atare)	2.77	0.28
alege	vota	V	alege,selecționa,selecta,lua	vota	A prefera ceva sau pe cineva; a-și fixa preferințele asupra unui fapt sau asupra unei persoane.	A-și exprima prin vot părerea asupra unei candidaturi, a unei hotărâri, a unei propuneri etc.	3.42	7.55
pierde	rata	V	rata,pierde,scăpa	rata,pierde,scăpa	a scăpa, a pierde ocazia de a trece printr-o experiență	a scăpa, a pierde ocazia de a trece printr-o experiență	4.0	6.8
încuraja	descuraja	V	alina,consola,îmbărbăta,încuraja,mângâia	descuraja	a insufla tărie morală sau emoțională.	a face pe cineva să-și piardă curajul, entuziasmul, nădejdea.	2.77	0.35
obține	realiza	V	căpăta,dobândi,obține,primi	câștiga,dobândi,realiza	A obține un lucru solicitat, a primi (în dar sau de pomană).	A obține ceva prin muncă, eforturi, perseverență	3.42	6.77
face	construi	V	înălța,clădi,construi,dura,face,ridica,zidi	înălța,clădi,construi,dura,face,ridica,zidi	A forma un întreg (o clădire, o mașină etc.) legând în mod trainic și în ordinea cerută părțile lui componente după un plan prestabilit;	A forma un întreg (o clădire, o mașină etc.) legând în mod trainic și în ordinea cerută părțile lui componente după un plan prestabilit;	4.0	7.48
asculta	supune	V	asculta	supune	A-și încorda auzul pentru a percepe un sunet sau un zgomot, a se strădui să audă.;	(și reflexiv) a (se) face răspunzător pentru sau de faptele, acțiunile, gândurile cuiva	2.28	5.95
informa	notifica	V	înștiința,încunoștința,anunța,comunica,informa,vesti	anunța,încunoștința,înștiința,vesti,notifica	A transmite, a spune o anumită informație cuiva	A aduce la cunoștință	3.42	6.82
primi	da	V	căpăta,dobândi,obține,primi	afla,descoperi,găsi,da	A obține un lucru solicitat, a primi (în dar sau de pomană).	a găsi, a descoperi pe neașteptate	3.0	0.78
împrumuta	cerși	V	împrumuta	cerși,cerșetori	A lua pe perioadă determinată	A cere și a primi gratis; a fi un parazit	2.68	1
lua	obține	V	lua,obține,căpăta	lua,obține,căpăta	a obține o notă (marcată printr-o cifră sau o literă) sau un calificativ care să redea calitatea sau performanța	a obține o notă (marcată printr-o cifră sau o literă) sau un calificativ care să redea calitatea sau performanța	4.0	4.78
sfătui	recomanda	V	îndemna,povățui,recomanda,sfătui	îndemna,povățui,recomanda,sfătui	a ține ca lucrurile să fie făcute într-un anumit mod	a ține ca lucrurile să fie făcute într-un anumit mod	4.0	7.52
imita	portretiza	V	copia,imita	portretiza	A face o copie sau o reproducere după ceva	A face cuiva portretul.	2.19	3.97
câștiga	reuși	V	câștiga	reuși	A obține, a cuceri victoria (într-o competiție sportivă, într-un proces etc.); " Au câștigat ai noștri ".	A avea succes, a termina cu bine.;	2.77	5.88
gândi	decide	V	cugeta,gândi,raționa	convinge,decide,determina,face,hotărî,îndupleca	a gândi rațional	a face pe cineva să adopte o părere, să recunoască ceva cu adevărat	2.5	4.3
saluta	întâlni	V	saluta	întâlni,aduna,strânge	a face un gest sau a rosti o formulă uzuală de politețe, de respect, de simpatie etc. la întâlnirea cu cineva sau la despărțire	A (se) strânge la un loc, formând un grup.;	2.09	2.17
consimți	contrazice	V	fi_de_acord,accepta,aproba,consimți	contrazice	A fi de acord cu ceva, a-și da consimțământul	a dezminți ceva.	2.09	0.57
bucura	distra	V	înveseli,binedispune,bucura	amuza,delecta,desfăta,distra	a deveni sau a face să fie vesel, voios, bine dispus	A face pe cineva să-și petreacă timpul în mod agreabil	2.09	5.63
distruge	face	V	distruge,ruina	însemna,face	A face să nu mai existe (stricând, spărgând, dărâmând etc.)	a fi identic sau echivalent cu altceva	2.77	0.35
salva	proteja	V	salva,pune_la_adăpost	proteja	A scăpa, a salva, a ajuta (pe cineva) să iasă dintr-o situație grea	A folosi pârghii economice pentru a proteja industria autohtonă	2.28	5.43
da	împrumuta	V	da	împrumuta	A transfera cuiva posesia a ceva concret sau abstract	a da ceva cu titlu de împrumut	3.42	5.28
înțelege	ști	V	înțelege,ști,cunoaște,pricepe	înțelege,ști,cunoaște,pricepe	a vorbi și a înțelege o anumită limbă	a vorbi și a înțelege o anumită limbă	4.0	3.83
lua	primi	V	lua,primi	lua,primi	A primi ceva ca pedeapsă	A primi ceva ca pedeapsă	4.0	3.2
accepta	recunoaște	V	accepta,admite,recunoaște	accepta,admite,recunoaște	a accepta că cineva este ceea ce pretinde sau a-i recunoaște puterea și autoritatea	a accepta că cineva este ceea ce pretinde sau a-i recunoaște puterea și autoritatea	4.0	5
decide	alege	V	decide,hotărî,[-și] propune	alege,selecționa,selecta,lua	A lua o hotărâre	A prefera ceva sau pe cineva; a-și fixa preferințele asupra unui fapt sau asupra unei persoane.	3.0	6.38
accepta	crede	V	accepta,admite	crede	A primi ca bun, a considera ca adevărat	a considera că este așa cum se spune, a primi, a accepta un lucru ca fiind adevărat	3.42	3.58
ține	poseda	V	ține,subzista,trăi,viețui	avea,deține,poseda,stăpâni	A avea mijloace de existență	A avea ceva în proprietatea sau în stăpânirea sa, a dispune de ceva;	2.77	5.43
hoinări	cutreiera	V	cutreiera,rătăci,hoinări,colinda	cutreiera,rătăci,hoinări,colinda	A umbla, a călători mult și fără țintă, fără căpătâi.   	A umbla, a călători mult și fără țintă, fără căpătâi.   	4.0	9.33
reuși	rata	V	reuși	rata	A avea succes, a termina cu bine.;	A nu reuși să ajungă la	2.77	0.13
cheltui	economisi	V	cheltui	aduna,agonisi,economisi	A da o sumă de bani pentru a cumpăra sau a plăti ceva, pentru a ajuta pe cineva etc.; (peior.) a risipi, a irosi bani pe ceva, cu cineva etc.;	A folosi cu chibzuială banii sau alte mijloace materiale cu scopul de a le agonisi	3.42	0.13
pleca	duce	V	pleca	conduce,duce	a părăsi pe cineva sau ceva spre a se duce în altă parte	A duce pe cineva undeva	2.77	8.75
veni	participa	V	apropia,veni	participa,|se| implica	A se deplasa înspre persoana care vorbește sau despre care se vorbește; a se apropia de un loc, de o așezare;	A lua parte la o activitate, la o acțiune, la o discuție etc.	2.5	2.62
ști	crede	V	ști,cunoaște	crede	A avea cunoștință (de...), a fi informat (în legătură cu...), a cunoaște.	A fi încredințat sau convins de un fapt, de existența sau adevărul unui lucru.	2.28	2.52
aduna	întâlni	V	întâlni,aduna,strânge	întâlni,aduna,strânge	A (se) strânge la un loc, formând un grup.;	A (se) strânge la un loc, formând un grup.;	4.0	6.35
face	câștiga	V	însemna,face	câștiga	a fi identic sau echivalent cu altceva	A obține, a cuceri victoria (într-o competiție sportivă, într-un proces etc.); " Au câștigat ai noștri ".	2.77	2.08
uita	ignora	V	uita	ignora,fi_în_beznă	A pierde din memorie (momentan sau pentru totdeauna), a nu-și (mai) aduce aminte, a nu (mai) ține minte.	a fi ignorant, neștiutor	2.77	1.92
înmulți	aduna	V	înmulți,multiplica	aduna,suma	(Mat.) A efectua operația de înmulțire	(Mat.) A totaliza mai multe numere într-unul singur	3.0	2.52
micșora	crește	V	micșora,reduce,restrânge	dezvolta,crește	" și-a redus numărul de salariați "	(mai ales despre plante) a crește, a dezvolta (soiuri noi)	3.0	0.13
sosi	pleca	V	ajunge,sosi	pleca	A atinge o destinație, fie reală, fie abstractă	a părăsi pe cineva sau ceva spre a se duce în altă parte	2.77	0.13
reuși	încerca	V	reuși	experimenta,încerca	A avea succes, a termina cu bine.;	A încerca, a verifica prin experiență.	2.77	1.53
accepta	nega	V	accepta,admite	nega,tăgădui	A primi ca bun, a considera ca adevărat	a refuza să accepte sau să creadă	2.42	0.15
sosi	veni	V	ajunge,sosi	apropia,veni	A atinge o destinație, fie reală, fie abstractă	A se deplasa înspre persoana care vorbește sau despre care se vorbește; a se apropia de un loc, de o așezare;	2.5	6.98
consimți	refuza	V	fi_de_acord,accepta,aproba,consimți	declina,refuza	A fi de acord cu ceva, a-și da consimțământul	A respinge (ceva sau pe cineva), a nu accepta, a nu primi ceva ce ți se oferă	3.0	0.38
trimite	primi	V	direcționa,orienta,trimite	lua,primi	a îndrepta pe cineva într-o anumită direcție	A primi ceva ca pedeapsă	2.5	0.18
câștiga	domina	V	câștiga	domina,ține_sub_papuc	A atrage de partea sa	A ține pe cineva sau ceva sub influența sau stăpânirea sa	3.0	3.12
aduna	împărți	V	aduna,suma	împărți,diviza	(Mat.) A totaliza mai multe numere într-unul singur	A efectua operația de împărțire a unui număr prin altul, a face o împărțire.	3.0	0.57
ucide	sugruma	V	omorî,suprima,ucide	gâtui,strangula,sugruma	A pricinui moartea cuiva, a lua viața cuiva, de obicei fără intenție;	tranzitiv A strânge pe cineva de gât (pentru a-l omorî prin sufocare)	3.42	4.53
achiziționa	obține	V	achiziționa,cumpăra	căpăta,dobândi,obține,primi	A intra în posesia unui lucru, plătind contravaloarea lui cu bani.	A obține un lucru solicitat, a primi (în dar sau de pomană).	3.42	4.58
participa	alătura	V	participa,|se| implica	alătura	A lua parte la o activitate, la o acțiune, la o discuție etc.	A se uni, a se grupa cu cineva pentru atingerea unui scop comun	2.5	6.28
pleca	rămâne	V	pleca	rămâne,sta	a părăsi pe cineva sau ceva spre a se duce în altă parte	(Despre ființe) A sta pe loc, a nu schimba sau a nu părăsi locul sau localitatea unde se află	2.77	0.18
merge	intra	V	|se| întinde,merge	intra	a se schimba sau a fi diferit între anumite limite	A fi clasificat, inclus	3.0	1.17
lua	căra	V	aduce,lua	căra,duce,transporta	A lua cu sine un lucru sau pe cineva și a veni cu el undeva sau la cineva (pentru a-l preda).	A deplasa (cu un vehicul) bunuri sau persoane dintr-un loc în altul;	3.42	2.58
uita	învăța	V	uita	deprinde,învăța	A pierde din memorie (momentan sau pentru totdeauna), a nu-și (mai) aduce aminte, a nu (mai) ține minte.	A dobândi cunoștințe prin studiu, a ajunge prin muncă sistematică să cunoști o meserie, o artă, o limbă etc.	2.77	0.43
numi	alege	V	numi,spune_numele	alege,selecționa,selecta,lua	a preciza și a identifica după nume sau prin nume	A prefera ceva sau pe cineva; a-și fixa preferințele asupra unui fapt sau asupra unei persoane.	3.0	5.75
cere	ruga	V	cere,ruga	cere,ruga	A-și manifesta dorința ca cineva să facă ceva	A-și manifesta dorința ca cineva să facă ceva	4.0	4.93
duce	trimite	V	transfera,muta,trimite,duce	transfera,muta,trimite,duce	a schimba poziția sau locul din diverse motive (militare, de afaceri, de educație etc.)	a schimba poziția sau locul din diverse motive (militare, de afaceri, de educație etc.)	4.0	1.23
lua	livra	V	ridica,lua	furniza,livra	a lua (pe cineva) cu forța	a face o livrare la o anumită destinație	2.42	0.92
vorbi	auzi	V	spune,vorbi,zice	afla,auzi,ști	A exprima prin viu grai un gând, o părere	a ajunge să știe ceva, să devină conștient de ceva, de obicei în mod accidental	2.09	0.95
analiza	evalua	V	analiza	aprecia,evalua	A cerceta un întreg, un fenomen etc., examinând fiecare element în parte.	A considera cu atenție o situație	3.42	7.48
argumenta	justifica	V	argumenta,demonstra,dovedi,proba	justifica,îndreptăți,scuza	A găsi motive sau argumente	a considera ceva ca fiind rezonabil, demn de scuze, explicabil	1.77	8.58
pierde	ține	V	pierde	ține,subzista,trăi,viețui	A fi învins într-un război, într-o întrecere	A avea mijloace de existență	2.77	0.25
compara	analiza	V	compara,confrunta	analiza	A (se) pune alături pentru a stabili asemănările și deosebirile	A cerceta un întreg, un fenomen etc., examinând fiecare element în parte.	3.42	5.75
dezorganiza	organiza	V	dezorganiza	aranja,organiza,rândui	A face să-și piardă sau a-și pierde organizarea, funcționarea normală, bunul mers	A pune ceva în ordine, în rânduială.;	2.28	0.22
merge	permite	V	merge,|se| armoniza,|se| asorta,|se| combina,|se| potrivi	îngădui,permite	a pune în armonie sau a deveni armonios, a face să fie sau a fi în concordanță	A face un lucru posibil	2.77	0.5
lua	poseda	V	aduce,lua	avea,deține,poseda,stăpâni	a fi vândut la un anumit preț	A avea ceva în proprietatea sau în stăpânirea sa, a dispune de ceva;	2.77	3.18
învăța	asculta	V	deprinde,învăța	asculta	A dobândi cunoștințe prin studiu, a ajunge prin muncă sistematică să cunoști o meserie, o artă, o limbă etc.	A-și încorda auzul pentru a percepe un sunet sau un zgomot, a se strădui să audă.;	2.5	2.8
distruge	construi	V	distruge,ruina	înălța,clădi,construi,dura,face,ridica,zidi	A face să nu mai existe (stricând, spărgând, dărâmând etc.)	A forma un întreg (o clădire, o mașină etc.) legând în mod trainic și în ordinea cerută părțile lui componente după un plan prestabilit;	2.5	0.35
crea	construi	V	crea	construi	a desfășura o activitate creatoare	a fi implicat în construcție	3.42	7.48
fura	cumpăra	V	lua,fura	ajunge,cumpăra	A primi o pedeapsă	(Despre prețuri; p. ext. despre mărfuri) A atinge un anumit nivel.; a valora	2.5	0.13
ucide	spânzura	V	omorî,suprima,ucide	executa_prin_spânzurare,spânzura	A pricinui moartea cuiva, a lua viața cuiva, de obicei fără intenție;	A omorî, a executa pe cineva (în urma unei condamnări) prin strangulare, cu ajutorul spânzurătorii	3.0	4.18
uita	ști	V	uita	ști,cunoaște	A pierde din memorie (momentan sau pentru totdeauna), a nu-și (mai) aduce aminte, a nu (mai) ține minte.	A avea cunoștință (de...), a fi informat (în legătură cu...), a cunoaște.	2.77	0.32
crea	imagina	V	crea,face	închipui,înfățișa,imagina,reprezenta	A face ceva ce nu exista înainte	A-și reprezenta în minte o situație, o posibilitate, un fapt etc.	2.68	5.78
face	întâmpla	V	însemna,face	întâmpla	a fi identic sau echivalent cu altceva	(jargon) a se petrece, a avea loc, a se ivi accidental	2.5	2.8
câștiga	realiza	V	câștiga,dobândi,realiza	câștiga,dobândi,realiza	A obține ceva prin muncă, eforturi, perseverență	A obține ceva prin muncă, eforturi, perseverență	4.0	4.28
da	nega	V	da	dezminți,nega,tăgădui,contesta	A face să aibă, în sens abstract sau fizic	A contesta o afirmație, a nu recunoaște ceva. " A tăgăduit că ar fi luat banii. "	2.28	0.07
merita	câștiga	V	aprecia,avea_greutate,merita	câștiga	a face, a valora.;	A obține, a cuceri victoria (într-o competiție sportivă, într-un proces etc.); " Au câștigat ai noștri ".	2.5	2.3
obține	pune	V	căpăta,dobândi,obține,primi	desemna,numi,pune	A obține un lucru solicitat, a primi (în dar sau de pomană).	A așeza, a numi pe cineva într-un rang, într-o slujbă	2.5	0.63
localiza	găsi	V	localiza	afla,dibui,găsi,regăsi	A descoperi locația cuiva, a determnina locul în care se află; " Poți localiza clădirea aceea? "	A da de urma cuiva care se ascunde; a găsi, a descoperi, a afla, a dibăci.;	3.42	7.2
apărea	participa	V	apărea,ieși,răsări	participa,|se| implica	A începe sau a ajunge să fie; a se face.;	A lua parte la o activitate, la o acțiune, la o discuție etc.	2.77	1.88
ști	înțelege	V	înțelege,ști,cunoaște,pricepe	înțelege,ști,cunoaște,pricepe	a vorbi și a înțelege o anumită limbă	a vorbi și a înțelege o anumită limbă	4.0	4.43
preface	imagina	V	modifica,preface,schimba,transforma	imagina,[se] gândi	A cauza schimbarea; a face să fie diferit; a determina o transformare	A reflecta la ceva	2.5	2.1
satisface	mulțumi	V	mulțumi,satisface	mulțumi,satisface	A fi conform cu anumite norme, criterii, exigențe, dorințe.	A fi conform cu anumite norme, criterii, exigențe, dorințe.	4.0	8.18
prețui	ține	V	îndrăgi,prețui,ține	îndrăgi,prețui,ține	A simți atracție, afecțiune, dragoste pentru cineva sau ceva	A simți atracție, afecțiune, dragoste pentru cineva sau ceva	4.0	4.3
certa	refuza	V	admonesta,certa,dojeni,mustra	declina,refuza	mustra cu severitate	A respinge (ceva sau pe cineva), a nu accepta, a nu primi ceva ce ți se oferă	1.83	1.32
învinge	domina	V	bate,învinge	stăpâni,domina,controla	a învinge un adversar într-o dispută, într-o competiție (sportivă)	figurativ (Despre oameni)) A se reține (de la manifestarea unui sentiment, a unei porniri etc.). A-și dirija propriile gesturi și mișcări.	3.42	5.53
comporta	supune	V	cere,comporta,impune,necesita,lua	supune	a face să fie necesar; " Succesul impune multă muncă "; " Acest proiect necesită o analiză preliminară "	(și reflexiv) a (se) face răspunzător pentru sau de faptele, acțiunile, gândurile cuiva	2.5	1.67
coopera	participa	V	colabora,conlucra,coopera,[-și] uni_forțele	participa,|se| implica	A participa alături de alții la realizarea unei acțiuni sau a unei opere care se efectuează în comun.	A lua parte la o activitate, la o acțiune, la o discuție etc.	2.5	4.82
obține	încerca	V	căpăta,dobândi,obține,primi	experimenta,încerca	A obține un lucru solicitat, a primi (în dar sau de pomană).	A încerca, a verifica prin experiență.	2.77	1.7
eșua	descuraja	V	eșua,greși,dezamăgi	descuraja	a înșela, a nu respecta așteptările cuiva	a face pe cineva să-și piardă curajul, entuziasmul, nădejdea.	2.77	1.67
începe	renunța	V	începe	abandona,renunța	A face să pornească (un fenomen, o stare); " Irakul a început ostilitățile "; " Azi începe un nou capitol în viața ta ".	A nu mai insista, a nu mai susține	2.77	0.18
spune	participa	V	mărturisi,spune,comunica	lua_parte,participa	A-și da pe față anxietățile în fața psihiatrului	A lua parte la o activitate, la o acțiune, la o discuție.	2.68	0.97
veni	aduce	V	apropia,veni	aduce,lua	A se deplasa înspre persoana care vorbește sau despre care se vorbește; a se apropia de un loc, de o așezare;	a fi vândut la un anumit preț	2.5	0.85
declara	anunța	V	anunța,declara	anunța,declara	A face cunoscut; a face un anunț	A face cunoscut; a face un anunț	4.0	6.67
citi	înțelege	V	citi	interpreta,înțelege,tălmăci,tâlcui	A parcurge un text (pronunțând cuvintele sau nu) pentru a lua cunoștință de cele scrise.	A da un anumit înțeles, o anumită semnificație unui lucru.	3.42	2.37
lua	lăsa	V	aduce,lua	lăsa,lăsa_în_urmă	a fi vândut la un anumit preț	a pleca și a nu lua cu sine	2.77	0.35
proclama	anunța	V	striga,vesti,anunța,proclama	striga,vesti,anunța,proclama	A proclama, a anunța ceva în public	A proclama, a anunța ceva în public	4.0	5.95
achiziționa	obține	V	achiziționa,cumpăra	căpăta,dobândi,obține,primi	A intra în posesia unui lucru, plătind contravaloarea lui cu bani.	A obține un lucru solicitat, a primi (în dar sau de pomană).	3.42	5.07
încheia	decide	V	încheia	convinge,decide,determina,face,hotărî,îndupleca	A fi partea finală, încheierea.	a face pe cineva să adopte o părere, să recunoască ceva cu adevărat	2.28	2.52
mulțumi	pleda	V	face_plăcere,mulțumi	pleda	A trata pe cineva cu atenție și politețe cu scopul de a-l face să se simtă bine	A intra într-o acțiune juridică	1.92	1.1
argumenta	demonstra	V	argumenta,demonstra,dovedi,proba	argumenta,demonstra,dovedi,proba	A găsi motive sau argumente	A găsi motive sau argumente	4.0	8.15
cere	pleda	V	cere,întreba	pleda	A ruga pe cineva să se prezinte undeva sau să participe la ceva	A intra într-o acțiune juridică	2.09	1.92
găsi	dispărea	V	găsi	dispărea,evapora,pieri	A obține prin efort sau demersuri speciale; " Și-a găsit timpul și energia necesară să se ocupe de acest lucru "; " Am găsit bani să ne trimit copiii la facultate ".	A se pierde fără urmă, a nu mai putea fi găsit.	2.5	0.25
inspecta	examina	V	inspecta,studia	cerceta,examina,studia	a cerceta amănunțit și cu atenție ceva.	A studia amănunțit ceva sau pe cineva.	3.42	8.68
verifica	justifica	V	verifica	justifica,îndreptăți,scuza	a atașa o verificare legală (unei plângeri sau petiții)	a considera ceva ca fiind rezonabil, demn de scuze, explicabil	3.0	2.33
presupune	prezice	V	presupune,bănui	prevedea,prezice	A crede, a-și imagina că ceva este posibil, adevărat sau probabil	A spune, a anunța dinainte ce se va întâmpla, orientându-se după anumite indicații prezente, după intuiție, raționament etc.	2.68	4.65
învăța	evalua	V	deprinde,învăța	evalua,prețui	A dobândi cunoștințe prin studiu, a ajunge prin muncă sistematică să cunoști o meserie, o artă, o limbă etc.	a atribui o valoare	2.5	1.35
argumenta	justifica	V	argumenta,demonstra,dovedi,proba	justifica,îndreptăți,scuza	A găsi motive sau argumente	a considera ceva ca fiind rezonabil, demn de scuze, explicabil	1.77	8.33
face	deveni	V	face,lustrui,văcsui	deveni,[se] face,[se] preface,[se] transforma	a unge încălțămintea cu vacs sau cremă de ghete și a o lustrui	A lua o formă nouă, un conținut nou.	2.42	2.95
obține	reuși	V	lua,obține,căpăta	reuși	a obține o notă (marcată printr-o cifră sau o literă) sau un calificativ care să redea calitatea sau performanța	A avea succes, a termina cu bine.;	3.0	4.57
da	pune	V	da,lăsa,arunca,pune	da,lăsa,arunca,pune	a impune cuiva o datorie, o pedeapsa ori o povară	a impune cuiva o datorie, o pedeapsa ori o povară	4.0	0.78
înțelege	asculta	V	înțelege,pricepe	asculta	a înțelege o întâmplare trecută	A-și încorda auzul pentru a percepe un sunet sau un zgomot, a se strădui să audă.;	3.0	3.02
extinde	crește	V	mări,amplifica,extinde	crește,|se| mări,spori	A crește sau a face să creascăîn dimensiuni, în număr, în cantitate etc.	a crește neobișnuit de repede	3.0	7.92
împrumuta	vinde	V	împrumuta	vinde	a da ceva cu titlu de împrumut	A ceda unui cumpărător drepturile de proprietate asupra unui bun, în schimbul unei sume de bani.;	2.42	0.43
păstra	proteja	V	păstra	apăra,feri,ocroti,proteja,păzi	A ține la loc sigur, păzind cu grijă, a pune bine   	A (se) apăra de acțiuni dăunătoare, de un pericol	3.42	3.4
explica	demonstra	V	explica,lămuri,desluși	demonstra,dovedi,proba	A face să fie clar, înțeles de cineva, a desluși	A arăta în mod convingător, prin argumente, prin raționamente logice sau, prin exemple concrete, adevărul sau neadevărul unei afirmații, al unui fapt etc	3.0	7.02
